Month,MATERIAL_NAME,ReconstructedInventory
2024-02,MAT-0233,5171.4
2024-02,MAT-0234,38105.12
2024-02,MAT-0236,1947.35
2024-02,MAT-0237,1531.975
2024-02,MAT-0241,2153.25
2024-02,MAT-0242,4306.5
2024-02,MAT-0243,2539.625
2024-02,MAT-0244,2153.25
2024-02,MAT-0245,2153.25
2024-02,MAT-0246,2703.25
2024-02,MAT-0247,16126.085
2024-02,MAT-0248,286.375
2024-02,MAT-0250,286.375
2024-02,MAT-0252,1384.025
2024-02,MAT-0253,1384.025
2024-02,MAT-0255,1384.025
2024-02,MAT-0257,149.379
2024-02,MAT-0258,291.392
2024-02,MAT-0260,69.6
2024-02,MAT-0263,4304.325000000001
2024-02,MAT-0265,116.0
2024-02,MAT-0267,432.1
2024-02,MAT-0268,17413.800000000003
2024-02,MAT-0269,1315.875
2024-02,MAT-0271,735.1500000000001
2024-02,MAT-0272,0.6960000000000001
2024-02,MAT-0273,3509.0
2024-02,MAT-0274,1552.225
2024-02,MAT-0275,1552.225
2024-02,MAT-0276,1552.225
2024-02,MAT-0283,174.377
2024-02,MAT-0288,3196.5249999999996
2024-02,MAT-0289,3196.5249999999996
2024-02,MAT-0292,3746.525
2024-02,MAT-0293,3849.025
2024-02,MAT-0295,3196.5249999999996
2024-02,MAT-0296,717.75
2024-02,MAT-0299,52.925
2024-02,MAT-0301,4809.65
2024-02,MAT-0302,7734.944999999998
2024-02,MAT-0303,10403.275
2024-02,MAT-0304,5434.4
2024-02,MAT-0305,4098.775
2024-02,MAT-0306,4976.08
2024-02,MAT-0307,4091.9
2024-02,MAT-0308,4091.9
2024-02,MAT-0309,4091.9
2024-02,MAT-0310,4091.9
2024-02,MAT-0316,4469.4
2024-02,MAT-0318,11527.5
2024-02,MAT-0319,27853.775
2024-02,MAT-0320,478.5
2024-02,MAT-0321,5743.450000000001
2024-02,MAT-0322,809.825
2024-02,MAT-0323,6450.325000000001
2024-02,MAT-0327,10744.025
2024-02,MAT-0334,1434.0500000000002
2024-02,MAT-0335,46532.625
2024-02,MAT-0336,2213.0
2024-02,MAT-0338,1475.25
2024-02,MAT-0339,100.125
2024-02,MAT-0340,40572.73
2024-02,MAT-0343,1421.0
2024-02,MAT-0344,2371.8
2024-02,MAT-0345,2557.175
2024-02,MAT-0346,915.675
2024-02,MAT-0347,197.925
2024-02,MAT-0348,197.925
2024-02,MAT-0349,1979.925
2024-02,MAT-0351,197.925
2024-02,MAT-0354,1429.6999999999998
2024-02,MAT-0355,847.5250000000001
2024-02,MAT-0356,887.4000000000001
2024-02,MAT-0357,2405.5
2024-02,MAT-0359,2809.375
2024-02,MAT-0360,656.125
2024-02,MAT-0361,656.125
2024-02,MAT-0363,656.125
2024-02,MAT-0364,717.75
2024-02,MAT-0365,1007.75
2024-02,MAT-0366,2960.25
2024-02,MAT-0367,717.75
2024-02,MAT-0369,234.175
2024-02,MAT-0371,1489.4499999999998
2024-02,MAT-0372,5062.825000000001
2024-02,MAT-0373,1567.5749999999998
2024-02,MAT-0374,1973.9
2024-02,MAT-0376,77.57499999999999
2024-02,MAT-0380,7393.549999999999
2024-02,MAT-0381,2001.85
2024-02,MAT-0385,18.85
2024-02,MAT-0386,7798.0
2024-02,MAT-0390,9730.19
2024-02,MAT-0392,638.0
2024-02,MAT-0393,2857.2250000000004
2024-02,MAT-0394,717.75
2024-02,MAT-0395,12608.375
2024-02,MAT-0396,4061.45
2024-02,MAT-0397,738.05
2024-02,MAT-0398,1275.275
2024-02,MAT-0403,121.8
2024-02,MAT-0404,197.2
2024-02,MAT-0405,480.6749999999999
2024-02,MAT-0406,121.8
2024-02,MAT-0407,121.8
2024-02,MAT-0408,121.8
2024-02,MAT-0410,121.8
2024-02,MAT-0411,121.8
2024-02,MAT-0412,121.8
2024-02,MAT-0413,17201.965
2024-02,MAT-0415,28359.515
2024-02,MAT-0416,16968.625
2024-02,MAT-0419,2218.5
2024-02,MAT-0420,2218.5
2024-02,MAT-0421,31249.56
2024-02,MAT-0422,2218.5
2024-02,MAT-0423,2218.5
2024-02,MAT-0424,2218.5
2024-02,MAT-0426,2218.5
2024-02,MAT-0427,7014.375
2024-02,MAT-0428,40822.895
2024-02,MAT-0431,0.0
2024-03,MAT-0005,0.775
2024-03,MAT-0007,3665.675
2024-03,MAT-0011,5252.95
2024-03,MAT-0012,767.25
2024-03,MAT-0014,0.775
2024-03,MAT-0015,95755.475
2024-03,MAT-0019,7181.150000000001
2024-03,MAT-0021,1534.5
2024-03,MAT-0022,10781.8
2024-03,MAT-0023,10781.8
2024-03,MAT-0024,10781.8
2024-03,MAT-0025,10781.8
2024-03,MAT-0026,10781.8
2024-03,MAT-0028,10781.8
2024-03,MAT-0029,10781.8
2024-03,MAT-0030,10781.8
2024-03,MAT-0031,10781.8
2024-03,MAT-0032,10781.8
2024-03,MAT-0034,14784.675
2024-03,MAT-0035,14908.925
2024-03,MAT-0037,724.625
2024-03,MAT-0039,2301.75
2024-03,MAT-0040,2301.75
2024-03,MAT-0041,5.0840000000000005
2024-03,MAT-0043,5.0840000000000005
2024-03,MAT-0044,5.0840000000000005
2024-03,MAT-0045,5.0840000000000005
2024-03,MAT-0046,32227.135
