BALANCE_AS_OF_DATE,PLANT_NAME,MATERIAL_NAME,BATCH_NUMBER,UNRESRICTED_STOCK,STOCK_UNIT,STOCK_SELL_VALUE,CURRENCY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,5718A,25000,KG,213250,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,7449A,2500,KG,21325,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,4475A,96250,KG,821013,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,8172A,101250,KG,863663,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,9329A,101150,KG,862810,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,5192A,18750,KG,159938,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,1944A,39925,KG,340560,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,2090A,25000,KG,213250,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,9762A,105000,KG,895650,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,7599A,30000,KG,255900,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,7853A,32500,KG,277225,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,9359A,88675,KG,756398,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,3782A,67500,KG,575775,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,8111A,11250,KG,95963,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0196,3198A,900,KG,7677,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0196,9509A,47500,KG,405175,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0196,6985A,30000,KG,255900,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0047,3423A,35000,KG,298550,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0047,3484A,52425,KG,447185,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0047,3322A,6250,KG,53313,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0047,8958A,1125,KG,9596,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0047,2945A,107400,KG,916122,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0047,4889A,41200,KG,351436,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0047,3314A,2500,KG,21325,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0047,3532A,1250,KG,10663,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0047,6746A,60000,KG,511800,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0047,1825A,85000,KG,725050,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0047,4531A,101250,KG,863663,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0047,7900A,100000,KG,853000,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0047,9845A,90000,KG,767700,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0047,2751A,18750,KG,159938,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0047,3175A,5000,KG,42650,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0094,2542A,1800,KG,1674,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0258,SCRAP,10048,KG,58879,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0259,9061A,900,KG,2826,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0259,6906A,750,KG,2355,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0259,8447A,0,KG,17270,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0259,4875A,20000,KG,62800,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0259,9735A,38725,KG,121597,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0259,1458B,1175,KG,3690,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0259,9226A,1200,KG,3768,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0259,1423A,45000,KG,141300,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0259,3487A,45000,KG,141300,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0098,9004A,43925,KG,97953,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0098,8715A,156575,KG,349162,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M6854B,1200,KG,5160,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M7450B,24750,KG,106425,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M3678A,1375,KG,5913,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M8356B,6875,KG,29563,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M6577A,57750,KG,248325,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M7346A,85175,KG,366253,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M8769C,38450,KG,165335,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M8164A,82500,KG,354750,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M5829B,82500,KG,354750,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M1528C,11000,KG,47300,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M2486A,15125,KG,65038,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M3791B,9625,KG,41388,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M5597B,57750,KG,248325,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M9152A,24725,KG,106318,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M9486B,16500,KG,70950,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M8201C,17875,KG,76863,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M2579A,28875,KG,124163,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M4688B,26125,KG,112338,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M6726C,82500,KG,354750,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M7918A,23375,KG,100513,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M9252C,15125,KG,65038,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M1995C,77000,KG,331100,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M3007A,90750,KG,390225,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M8070B,88000,KG,378400,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M3971C,24750,KG,106425,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0375,P9558A,225,KG,1287,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0375,P5154A,0,KG,396,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0376,P8018A,1175,KG,0,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0376,P6453A,1500,KG,0,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0312,P3115A,975,KG,3861,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0312,P9167A,31350,KG,124542,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0233,P5822A,600,KG,2376,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0233,P4793A,3000,KG,11880,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0233,P7722A,3000,KG,11880,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0377,P9024A,1325,KG,13338,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0377,P6100A,50900,KG,477360,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0377,P4150A,98900,KG,926640,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0377,P6717A,1100,KG,10296,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0197,P2939A,125,KG,638,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,1531,1125,KG,3533,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,4076,1350,KG,4239,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,5584,600,KG,1884,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,7994,325,KG,18291,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,8776,1300,KG,4082,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,6338,1075,KG,3376,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,1073,2650,KG,8321,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,8336,76425,KG,239975,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,4423,44875,KG,140908,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,2101,20525,KG,64449,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,7701,23325,KG,73241,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,5498,112175,KG,352230,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,4008,53000,KG,166420,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,7484,2500,KG,7850,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,9399,157875,KG,495728,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,9553,74250,KG,233145,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0100,SCRAP,4599,KG,27779,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0095,SCRAP,1631,KG,2251,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0095,SCRAP,25,KG,35,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0260,8509A,2400,KG,8976,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0204,4880A,9600,KG,35904,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0204,8331A,600,KG,2244,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0052,4755A,8400,KG,31416,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0412,1045A,4200,KG,15708,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0261,P9226A,0,KG,178,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0261,P3205A,1175,KG,9078,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0261,P7905A,203875,KG,1451590,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0141,SCRAP,8298,KG,31033,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0313,P7592A,1500,KG,6336,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0313,P8966A,1025,KG,4059,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,SCRAP,5999,KG,86080,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,T2455A,1175,KG,16861,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V8051A,875,KG,12556,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V7518A,100,KG,1435,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V2061A,675,KG,9686,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V4761A,525,KG,7534,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V2724A,125,KG,1794,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V6816A,1000,KG,14350,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V3118A,650,KG,9328,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V2011A,350,KG,5023,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V4008A,1300,KG,18655,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V3640A,1325,KG,19014,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V6558A,1500,KG,21525,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V6789A,725,KG,10404,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0200,8656A,1200,KG,4488,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0142,V5128A,1425,KG,15134,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0142,V7560A,1450,KG,15399,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0142,V8893A,1150,KG,12213,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0142,V6677A,1100,KG,11682,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0142,V7073A,1250,KG,13275,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0142,V4933A,188850,KG,2005587,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0142,V6666A,223450,KG,2373039,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0142,V6609A,63000,KG,669060,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0142,V2490A,211500,KG,2246130,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0142,V6324A,146925,KG,1560344,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0142,V1368A,260900,KG,2770758,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0143,V1228A,100,KG,1062,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0143,V5600A,1250,KG,13275,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0143,V5108A,14850,KG,157707,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0143,V5281A,3000,KG,31860,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0143,V5554A,203950,KG,2165949,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0143,V1211A,124500,KG,1322190,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0143,V9895A,305925,KG,3248924,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0143,V4276A,178425,KG,1894874,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0143,V2118A,229450,KG,2436759,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0314,V4288A,307150,KG,3670443,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0314,V5728A,3200,KG,38240,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0314,V3829A,302925,KG,3619954,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0314,V5271A,308900,KG,3691355,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0144,V2780A,169500,KG,1800090,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0144,V2658A,340375,KG,3614783,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0144,V1646A,473850,KG,5032287,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0144,V2470A,290950,KG,3089889,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0144,V3163A,41750,KG,443385,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0144,V2128A,186900,KG,1984878,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V4024A,1450,KG,15588,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V6439A,300,KG,3225,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V4459A,1425,KG,15319,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V7020A,1075,KG,11556,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V8570A,1275,KG,13706,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V4616A,1450,KG,15588,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V6075A,1425,KG,15319,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V3108A,1500,KG,16125,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V5715A,64325,KG,691494,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V1630A,349375,KG,3755781,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V1892A,143900,KG,1546925,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V1395A,569850,KG,6125888,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V9333A,40500,KG,435375,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V2710A,262450,KG,2821338,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V2944A,470950,KG,5062713,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V8079A,202500,KG,2176875,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V1803A,355450,KG,3821088,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V2181A,569825,KG,6125619,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V3873A,49500,KG,532125,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V9093A,1500,KG,16125,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V8111A,725,KG,8722,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V6573A,1450,KG,17444,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V3022A,1450,KG,17444,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V8378A,575,KG,6917,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V9426A,1400,KG,16842,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V5047A,1300,KG,15639,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V9246A,1425,KG,17143,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V5743A,1325,KG,15940,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V2917A,1275,KG,15338,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V9091A,1375,KG,16541,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V7687A,1250,KG,15038,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V6880A,1425,KG,17143,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V4178A,1425,KG,17143,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V5711A,1375,KG,16541,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V7718A,1425,KG,17143,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V4922A,1350,KG,16241,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V3011A,1300,KG,15639,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V9468A,1450,KG,17444,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V9135A,254875,KG,3066146,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V6285A,316450,KG,3806894,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V4634A,544250,KG,6547328,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V4193A,23950,KG,288119,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V2662A,254925,KG,3066748,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V6964A,170925,KG,2056228,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V1126A,83950,KG,1009919,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V8818A,254900,KG,3066447,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0201,V2440A,775,KG,8231,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0201,V2478A,1300,KG,13806,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0201,V9112A,35400,KG,375948,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0201,V5858A,44900,KG,476838,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0201,V8517A,61425,KG,652334,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0201,V6160A,167950,KG,1783629,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0201,V3718A,211425,KG,2245334,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0201,V1024A,298375,KG,3168743,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0262,E9917A,49500,KG,363825,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0319,S5659A,1025,KG,7534,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0319,S5796A,593925,KG,4365349,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0319,S9864A,217025,KG,1595134,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0319,S4343A,148500,KG,1091475,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0048,SCRAP,24,KG,31,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0205,SCRAP,325,KG,1963,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0176,T5521A,1200,KG,15264,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0176,T5551A,1375,KG,17490,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0176,T7421A,1075,KG,13674,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0176,T1621A,4150,KG,52788,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0176,T2831A,19500,KG,248040,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0176,T2572A,153000,KG,1946160,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0096,M3832A,74250,KG,338580,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0096,M8913A,39875,KG,181830,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0096,M9260B,34350,KG,156636,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0096,M4796B,4125,KG,18810,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0096,M9345B,1375,KG,6270,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0096,M4548C,68675,KG,313158,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0315,M6104A,1375,KG,4166,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0315,M9941B,6150,KG,18635,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0146,R3704A,71350,KG,325356,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0146,S8199A,0,KG,110808,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0146,S9026A,0,KG,20406,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0146,S4280A,1125,KG,5130,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0146,S4444A,148425,KG,676818,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0146,S5192A,262550,KG,1197228,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0049,S7146A,0,KG,5700,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0049,S6930A,1325,KG,118902,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0049,S8053A,19150,KG,87324,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0049,S8187A,123700,KG,564072,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0013,V6093A,62425,KG,671069,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0013,V9843A,232450,KG,2498838,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0013,V5617A,91400,KG,982550,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0147,V2793A,19300,KG,9650,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0003,7795,73372,KG,68236,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0003,8045,39168,KG,36426,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0004,V3262A,150,KG,1593,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0004,V9383A,125,KG,1328,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0004,V8928C,4500,KG,47790,CNY
