OUTBOUND_DATE,MATERIAL_NAME,PLANT_NAME,MODE_OF_TRANSPORT,CUSTOMER_NUMBER,total_quantity
2024-01-02,MAT-0303,SINGAPORE-WAREHOUSE,Marine,CST-01009,10.0
2024-01-02,MAT-0206,CHINA-WAREHOUSE,Truck,CST-00029,22.5
2024-01-02,MAT-0206,CHINA-WAREHOUSE,Truck,CST-00030,22.5
2024-01-02,MAT-0007,CHINA-WAREHOUSE,Truck,CST-00023,24.759999999999998
2024-01-02,MAT-0013,CHINA-WAREHOUSE,Truck,CST-00001,51.0
2024-01-02,MAT-0013,CHINA-WAREHOUSE,Truck,CST-00031,3.0
2024-01-02,MAT-0015,CHINA-WAREHOUSE,Truck,CST-00013,24.75
2024-01-02,MAT-0015,CHINA-WAREHOUSE,Truck,CST-00014,24.75
2024-01-02,MAT-0015,CHINA-WAREHOUSE,Truck,CST-00035,24.75
2024-01-02,MAT-0055,CHINA-WAREHOUSE,Truck,CST-00024,12.38
2024-01-02,MAT-0056,CHINA-WAREHOUSE,Truck,CST-00025,0.1
2024-01-02,MAT-0056,CHINA-WAREHOUSE,Truck,CST-00032,0.5
2024-01-02,MAT-0065,SINGAPORE-WAREHOUSE,Marine,CST-01011,49.5
2024-01-02,MAT-0015,CHINA-WAREHOUSE,Truck,CST-00015,24.75
2024-01-02,MAT-0109,SINGAPORE-WAREHOUSE,Marine,CST-01012,49.5
2024-01-02,MAT-0112,CHINA-WAREHOUSE,Truck,CST-00008,24.76
2024-01-02,MAT-0112,CHINA-WAREHOUSE,Truck,CST-00016,49.51
2024-01-02,MAT-0142,CHINA-WAREHOUSE,Truck,CST-00022,15.0
2024-01-02,MAT-0143,CHINA-WAREHOUSE,Truck,CST-00027,0.05
2024-01-02,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00003,25.5
2024-01-02,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00021,9.0
2024-01-02,MAT-0151,SINGAPORE-WAREHOUSE,Truck,CST-01014,49.5
2024-01-02,MAT-0084,CHINA-WAREHOUSE,Truck,CST-00011,24.75
2024-01-02,MAT-0195,CHINA-WAREHOUSE,Truck,CST-00026,0.11
2024-01-03,MAT-0319,CHINA-WAREHOUSE,Truck,CST-00052,74.25
2024-01-03,MAT-0319,CHINA-WAREHOUSE,Truck,CST-00051,49.5
2024-01-03,MAT-0318,CHINA-WAREHOUSE,Truck,CST-00017,24.75
2024-01-03,MAT-0314,CHINA-WAREHOUSE,Truck,CST-00055,1.5
2024-01-03,MAT-0314,CHINA-WAREHOUSE,Truck,CST-00038,9.0
2024-01-03,MAT-0303,SINGAPORE-WAREHOUSE,Marine,CST-01017,22.5
2024-01-03,MAT-0314,CHINA-WAREHOUSE,Truck,CST-00030,10.5
2024-01-03,MAT-0314,CHINA-WAREHOUSE,Truck,CST-00003,27.0
2024-01-03,MAT-0302,SINGAPORE-WAREHOUSE,Marine,CST-01018,24.725
2024-01-03,MAT-0270,CHINA-WAREHOUSE,Truck,CST-00039,25.5
2024-01-03,MAT-0319,CHINA-WAREHOUSE,Truck,CST-00058,49.5
2024-01-03,MAT-0314,CHINA-WAREHOUSE,Truck,CST-00037,13.5
2024-01-03,MAT-0321,CHINA-WAREHOUSE,Truck,CST-00035,24.75
2024-01-03,MAT-0415,CHINA-WAREHOUSE,Truck,CST-00048,24.75
2024-01-03,MAT-0328,CHINA-WAREHOUSE,Truck,CST-00039,51.0
2024-01-03,MAT-0328,CHINA-WAREHOUSE,Truck,CST-00061,9.0
2024-01-03,MAT-0328,CHINA-WAREHOUSE,Truck,CST-00065,15.0
2024-01-03,MAT-0340,SINGAPORE-WAREHOUSE,Marine,CST-01015,24.75
2024-01-03,MAT-0375,CHINA-WAREHOUSE,Truck,CST-00025,0.1
2024-01-03,MAT-0378,CHINA-WAREHOUSE,Truck,CST-00059,24.75
2024-01-03,MAT-0382,CHINA-WAREHOUSE,Truck,CST-00052,74.26
2024-01-03,MAT-0386,CHINA-WAREHOUSE,Truck,CST-00060,2.7600000000000002
2024-01-03,MAT-0389,CHINA-WAREHOUSE,Truck,CST-00036,51.0
2024-01-03,MAT-0415,CHINA-WAREHOUSE,Truck,CST-00046,24.75
2024-01-03,MAT-0415,CHINA-WAREHOUSE,Truck,CST-00049,49.5
2024-01-03,MAT-0428,CHINA-WAREHOUSE,Truck,CST-00016,49.5
2024-01-03,MAT-0270,CHINA-WAREHOUSE,Truck,CST-00038,25.5
2024-01-03,MAT-0328,CHINA-WAREHOUSE,Truck,CST-00038,40.5
2024-01-03,MAT-0264,CHINA-WAREHOUSE,Truck,CST-00047,49.5
2024-01-03,MAT-0421,SINGAPORE-WAREHOUSE,Truck,CST-01019,24.76
2024-01-03,MAT-0146,CHINA-WAREHOUSE,Truck,CST-00050,24.75
2024-01-03,MAT-0156,CHINA-WAREHOUSE,Truck,CST-00056,24.77
2024-01-03,MAT-0001,CHINA-WAREHOUSE,Truck,CST-00037,25.5
2024-01-03,MAT-0013,CHINA-WAREHOUSE,Truck,CST-00065,10.5
2024-01-03,MAT-0050,SINGAPORE-WAREHOUSE,Truck,CST-01020,24.75
2024-01-03,MAT-0056,CHINA-WAREHOUSE,Truck,CST-00011,24.76
2024-01-03,MAT-0064,CHINA-WAREHOUSE,Truck,CST-00057,69.0
2024-01-03,MAT-0082,CHINA-WAREHOUSE,Truck,CST-00037,22.5
2024-01-03,MAT-0082,CHINA-WAREHOUSE,Truck,CST-00053,45.0
2024-01-03,MAT-0084,CHINA-WAREHOUSE,Truck,CST-00050,17.88
2024-01-03,MAT-0111,CHINA-WAREHOUSE,Truck,CST-00066,24.75
2024-01-03,MAT-0114,SINGAPORE-WAREHOUSE,Marine,CST-01016,25.5
2024-01-03,MAT-0142,CHINA-WAREHOUSE,Truck,CST-00064,18.0
2024-01-03,MAT-0143,CHINA-WAREHOUSE,Truck,CST-00037,12.0
2024-01-03,MAT-0005,CHINA-WAREHOUSE,Truck,CST-00062,0.03
2024-01-03,MAT-0144,CHINA-WAREHOUSE,Truck,CST-00038,15.0
2024-01-03,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00063,25.509999999999998
2024-01-03,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00054,15.0
2024-01-03,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00045,25.5
2024-01-03,MAT-0144,CHINA-WAREHOUSE,Truck,CST-00037,102.0
2024-01-03,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00043,76.5
2024-01-03,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00044,25.5
2024-01-03,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00040,25.5
2024-01-03,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00038,27.009999999999998
2024-01-03,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00037,51.0
2024-01-03,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00003,12.0
2024-01-03,MAT-0144,CHINA-WAREHOUSE,Truck,CST-00042,25.5
2024-01-03,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00041,25.5
2024-01-03,MAT-0146,CHINA-WAREHOUSE,Truck,CST-00049,24.75
2024-01-04,MAT-0319,CHINA-WAREHOUSE,Truck,CST-00052,74.27
2024-01-04,MAT-0318,CHINA-WAREHOUSE,Truck,CST-00017,49.5
2024-01-04,MAT-0317,CHINA-WAREHOUSE,Truck,CST-00077,0.5
2024-01-04,MAT-0314,CHINA-WAREHOUSE,Truck,CST-00082,4.5
2024-01-04,MAT-0270,CHINA-WAREHOUSE,Truck,CST-00085,10.5
2024-01-04,MAT-0314,CHINA-WAREHOUSE,Truck,CST-00037,13.5
2024-01-04,MAT-0303,SINGAPORE-WAREHOUSE,Marine,CST-01017,22.5
2024-01-04,MAT-0319,CHINA-WAREHOUSE,Truck,CST-00070,49.5
2024-01-04,MAT-0270,CHINA-WAREHOUSE,Truck,CST-00069,25.5
2024-01-04,MAT-0314,CHINA-WAREHOUSE,Truck,CST-00068,25.5
2024-01-04,MAT-0319,CHINA-WAREHOUSE,Truck,CST-00074,49.5
2024-01-04,MAT-0382,CHINA-WAREHOUSE,Truck,CST-00050,24.75
2024-01-04,MAT-0328,CHINA-WAREHOUSE,Truck,CST-00085,15.0
2024-01-04,MAT-0333,CHINA-WAREHOUSE,Truck,CST-00080,0.1
2024-01-04,MAT-0340,CHINA-WAREHOUSE,Truck,CST-00078,0.21000000000000002
2024-01-04,MAT-0344,SINGAPORE-WAREHOUSE,Marine,CST-01017,8.25
2024-01-04,MAT-0382,CHINA-WAREHOUSE,Truck,CST-00035,24.75
2024-01-04,MAT-0390,CHINA-WAREHOUSE,Truck,CST-00081,12.38
2024-01-04,MAT-0415,CHINA-WAREHOUSE,Truck,CST-00046,24.75
2024-01-04,MAT-0415,CHINA-WAREHOUSE,Truck,CST-00049,24.75
2024-01-04,MAT-0421,SINGAPORE-WAREHOUSE,Truck,CST-01021,24.75
2024-01-04,MAT-0264,CHINA-WAREHOUSE,Truck,CST-00002,49.5
2024-01-04,MAT-0321,CHINA-WAREHOUSE,Truck,CST-00050,24.75
2024-01-04,MAT-0229,CHINA-WAREHOUSE,Truck,CST-00073,49.5
2024-01-04,MAT-0390,CHINA-WAREHOUSE,Truck,CST-00008,24.75
2024-01-04,MAT-0151,SINGAPORE-WAREHOUSE,Truck,CST-01014,24.75
2024-01-04,MAT-0015,CHINA-WAREHOUSE,Truck,CST-00071,24.75
2024-01-04,MAT-0046,CHINA-WAREHOUSE,Truck,CST-00025,0.15
2024-01-04,MAT-0046,CHINA-WAREHOUSE,Truck,CST-00076,0.05
2024-01-04,MAT-0055,CHINA-WAREHOUSE,Truck,CST-00025,0.2
2024-01-04,MAT-0082,CHINA-WAREHOUSE,Truck,CST-00084,22.5
2024-01-04,MAT-0084,CHINA-WAREHOUSE,Truck,CST-00050,24.75
2024-01-04,MAT-0084,CHINA-WAREHOUSE,Truck,CST-00058,49.5
2024-01-04,MAT-0099,CHINA-WAREHOUSE,Truck,CST-00011,24.75
2024-01-04,MAT-0111,CHINA-WAREHOUSE,Truck,CST-00086,24.75
2024-01-04,MAT-0112,CHINA-WAREHOUSE,Truck,CST-00072,123.78
2024-01-04,MAT-0013,CHINA-WAREHOUSE,Truck,CST-00075,3.0
2024-01-04,MAT-0122,SINGAPORE-WAREHOUSE,Marine,CST-01017,2.5
2024-01-04,MAT-0112,CHINA-WAREHOUSE,Truck,CST-00079,0.5
2024-01-04,MAT-0146,CHINA-WAREHOUSE,Truck,CST-00086,24.75
2024-01-04,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00083,18.0
2024-01-04,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00079,1.51
2024-01-04,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00067,25.5
2024-01-04,MAT-0156,CHINA-WAREHOUSE,Truck,CST-00049,24.75
2024-01-04,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00038,25.5
2024-01-04,MAT-0144,CHINA-WAREHOUSE,Truck,CST-00037,25.5
2024-01-04,MAT-0143,CHINA-WAREHOUSE,Truck,CST-00037,12.0
2024-01-04,MAT-0143,CHINA-WAREHOUSE,Truck,CST-00003,6.0
2024-01-04,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00043,25.5
2024-01-05,MAT-0176,CHINA-WAREHOUSE,Truck,CST-00088,51.0
2024-01-05,MAT-0196,CHINA-WAREHOUSE,Truck,CST-00104,22.5
2024-01-05,MAT-0197,CHINA-WAREHOUSE,Truck,CST-00025,0.08
2024-01-05,MAT-0201,CHINA-WAREHOUSE,Truck,CST-00095,10.5
2024-01-05,MAT-0264,CHINA-WAREHOUSE,Truck,CST-00002,24.75
2024-01-05,MAT-0264,CHINA-WAREHOUSE,Truck,CST-00047,123.75
2024-01-05,MAT-0270,CHINA-WAREHOUSE,Truck,CST-00038,15.5
2024-01-05,MAT-0270,CHINA-WAREHOUSE,Truck,CST-00102,18.0
2024-01-05,MAT-0314,CHINA-WAREHOUSE,Truck,CST-00103,18.0
2024-01-05,MAT-0319,CHINA-WAREHOUSE,Truck,CST-00093,24.75
2024-01-05,MAT-0321,CHINA-WAREHOUSE,Truck,CST-00094,24.76
2024-01-05,MAT-0328,CHINA-WAREHOUSE,Truck,CST-00095,15.0
2024-01-05,MAT-0328,CHINA-WAREHOUSE,Truck,CST-00099,3.01
2024-01-05,MAT-0328,CHINA-WAREHOUSE,Truck,CST-00102,6.0
2024-01-05,MAT-0382,CHINA-WAREHOUSE,Truck,CST-00049,16.5
2024-01-05,MAT-0382,CHINA-WAREHOUSE,Truck,CST-00052,74.25
2024-01-05,MAT-0382,CHINA-WAREHOUSE,Truck,CST-00092,24.75
2024-01-05,MAT-0413,CHINA-WAREHOUSE,Truck,CST-00096,0.05
2024-01-05,MAT-0415,CHINA-WAREHOUSE,Truck,CST-00046,24.75
2024-01-05,MAT-0156,CHINA-WAREHOUSE,Truck,CST-00049,24.75
2024-01-05,MAT-0321,CHINA-WAREHOUSE,Truck,CST-00074,24.75
2024-01-05,MAT-0380,CHINA-WAREHOUSE,Truck,CST-00025,0.1
2024-01-05,MAT-0146,CHINA-WAREHOUSE,Truck,CST-00086,24.75
2024-01-05,MAT-0146,CHINA-WAREHOUSE,Truck,CST-00049,49.5
2024-01-05,MAT-0146,CHINA-WAREHOUSE,Truck,CST-00074,24.75
2024-01-05,MAT-0001,CHINA-WAREHOUSE,Truck,CST-00003,25.5
2024-01-05,MAT-0001,CHINA-WAREHOUSE,Truck,CST-00038,10.53
2024-01-05,MAT-0001,CHINA-WAREHOUSE,Truck,CST-00087,51.01
2024-01-05,MAT-0001,CHINA-WAREHOUSE,Truck,CST-00090,51.0
2024-01-05,MAT-0013,CHINA-WAREHOUSE,Truck,CST-00091,25.5
2024-01-05,MAT-0013,CHINA-WAREHOUSE,Truck,CST-00101,1.5
2024-01-05,MAT-0015,CHINA-WAREHOUSE,Truck,CST-00100,13.75
2024-01-05,MAT-0035,CHINA-WAREHOUSE,Truck,CST-00025,4.13
2024-01-05,MAT-0035,CHINA-WAREHOUSE,Truck,CST-00097,2.75
2024-01-05,MAT-0001,CHINA-WAREHOUSE,Truck,CST-00098,3.01
2024-01-05,MAT-0097,CHINA-WAREHOUSE,Truck,CST-00074,24.75
2024-01-05,MAT-0084,CHINA-WAREHOUSE,Truck,CST-00093,74.25
2024-01-05,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00025,0.23
2024-01-05,MAT-0144,CHINA-WAREHOUSE,Truck,CST-00102,1.5
2024-01-05,MAT-0144,CHINA-WAREHOUSE,Truck,CST-00090,153.0
2024-01-05,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00089,25.5
2024-01-05,MAT-0142,CHINA-WAREHOUSE,Truck,CST-00025,0.03
2024-01-05,MAT-0112,CHINA-WAREHOUSE,Truck,CST-00072,24.75
2024-01-05,MAT-0103,CHINA-WAREHOUSE,Truck,CST-00096,1.38
2024-01-05,MAT-0142,CHINA-WAREHOUSE,Truck,CST-00101,9.0
2024-01-06,MAT-0319,CHINA-WAREHOUSE,Truck,CST-00114,24.75
2024-01-06,MAT-0229,CHINA-WAREHOUSE,Truck,CST-00113,24.75
2024-01-06,MAT-0259,CHINA-WAREHOUSE,Truck,CST-00119,10.0
2024-01-06,MAT-0270,CHINA-WAREHOUSE,Truck,CST-00085,4.52
2024-01-06,MAT-0301,SINGAPORE-WAREHOUSE,Marine,CST-01008,11.0
2024-01-06,MAT-0314,CHINA-WAREHOUSE,Truck,CST-00109,25.5
2024-01-06,MAT-0314,CHINA-WAREHOUSE,Truck,CST-00123,4.5
2024-01-06,MAT-0316,CHINA-WAREHOUSE,Truck,CST-00025,0.05
2024-01-06,MAT-0316,CHINA-WAREHOUSE,Truck,CST-00093,16.51
2024-01-06,MAT-0319,CHINA-WAREHOUSE,Truck,CST-00093,19.25
2024-01-06,MAT-0321,CHINA-WAREHOUSE,Truck,CST-00074,99.0
2024-01-06,MAT-0396,CHINA-WAREHOUSE,Truck,CST-00112,24.75
2024-01-06,MAT-0326,CHINA-WAREHOUSE,Truck,CST-00124,24.75
2024-01-06,MAT-0328,CHINA-WAREHOUSE,Truck,CST-00108,25.5
2024-01-06,MAT-0340,SINGAPORE-WAREHOUSE,Marine,CST-01022,49.5
2024-01-06,MAT-0379,CHINA-WAREHOUSE,Truck,CST-00093,13.75
2024-01-06,MAT-0382,CHINA-WAREHOUSE,Truck,CST-00086,74.25
2024-01-06,MAT-0386,CHINA-WAREHOUSE,Truck,CST-00120,24.759999999999998
2024-01-06,MAT-0389,CHINA-WAREHOUSE,Truck,CST-00106,51.0
2024-01-06,MAT-0389,CHINA-WAREHOUSE,Truck,CST-00121,10.5
2024-01-06,MAT-0395,SINGAPORE-WAREHOUSE,Marine,CST-01023,24.75
2024-01-06,MAT-0229,CHINA-WAREHOUSE,Truck,CST-00014,24.75
2024-01-06,MAT-0321,CHINA-WAREHOUSE,Truck,CST-00086,24.75
2024-01-06,MAT-0201,CHINA-WAREHOUSE,Truck,CST-00122,16.5
2024-01-06,MAT-0206,CHINA-WAREHOUSE,Truck,CST-00118,0.15
2024-01-06,MAT-0176,CHINA-WAREHOUSE,Truck,CST-00039,25.5
2024-01-06,MAT-0001,CHINA-WAREHOUSE,Truck,CST-00043,25.5
2024-01-06,MAT-0001,CHINA-WAREHOUSE,Truck,CST-00105,51.0
2024-01-06,MAT-0007,CHINA-WAREHOUSE,Truck,CST-00125,12.379999999999999
2024-01-06,MAT-0013,CHINA-WAREHOUSE,Truck,CST-00116,27.0
2024-01-06,MAT-0013,CHINA-WAREHOUSE,Truck,CST-00118,0.45
2024-01-06,MAT-0015,CHINA-WAREHOUSE,Truck,CST-00115,24.75
2024-01-06,MAT-0047,CHINA-WAREHOUSE,Truck,CST-00084,5.0
2024-01-06,MAT-0049,CHINA-WAREHOUSE,Truck,CST-00025,0.05
2024-01-06,MAT-0142,CHINA-WAREHOUSE,Truck,CST-00107,25.5
2024-01-06,MAT-0143,CHINA-WAREHOUSE,Truck,CST-00025,0.08
2024-01-06,MAT-0143,CHINA-WAREHOUSE,Truck,CST-00042,25.5
2024-01-06,MAT-0137,CHINA-WAREHOUSE,Truck,CST-00074,49.5
2024-01-06,MAT-0143,CHINA-WAREHOUSE,Truck,CST-00122,9.0
2024-01-06,MAT-0197,CHINA-WAREHOUSE,Truck,CST-00025,0.05
2024-01-06,MAT-0143,CHINA-WAREHOUSE,Truck,CST-00117,1.5
2024-01-06,MAT-0146,CHINA-WAREHOUSE,Truck,CST-00086,24.75
2024-01-06,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00123,21.0
2024-01-06,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00111,25.5
2024-01-06,MAT-0156,CHINA-WAREHOUSE,Truck,CST-00049,24.75
2024-01-06,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00105,40.5
2024-01-06,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00045,25.5
2024-01-06,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00039,25.5
2024-01-06,MAT-0144,CHINA-WAREHOUSE,Truck,CST-00042,25.5
2024-01-06,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00110,25.5
2024-01-07,MAT-0303,SINGAPORE-WAREHOUSE,Marine,CST-01017,22.5
2024-01-07,MAT-0421,SINGAPORE-WAREHOUSE,Marine,CST-01029,11.0
2024-01-07,MAT-0365,SINGAPORE-WAREHOUSE,Marine,CST-01017,1.25
2024-01-07,MAT-0345,SINGAPORE-WAREHOUSE,Marine,CST-01030,1.25
2024-01-07,MAT-0340,SINGAPORE-WAREHOUSE,Marine,CST-01032,49.5
2024-01-07,MAT-0340,SINGAPORE-WAREHOUSE,Marine,CST-01028,24.75
2024-01-07,MAT-0340,SINGAPORE-WAREHOUSE,Marine,CST-01022,24.75
2024-01-07,MAT-0303,SINGAPORE-WAREHOUSE,Marine,CST-01030,2.5
2024-01-07,MAT-0301,SINGAPORE-WAREHOUSE,Marine,CST-01017,2.75
2024-01-07,MAT-0221,SINGAPORE-WAREHOUSE,Marine,CST-01030,6.25
2024-01-07,MAT-0210,SINGAPORE-WAREHOUSE,Marine,CST-01008,11.0
2024-01-07,MAT-0182,SINGAPORE-WAREHOUSE,Marine,CST-01017,1.25
2024-01-07,MAT-0151,SINGAPORE-WAREHOUSE,Marine,CST-01031,24.75
2024-01-07,MAT-0072,SINGAPORE-WAREHOUSE,Marine,CST-01017,19.25
2024-01-07,MAT-0065,SINGAPORE-WAREHOUSE,Marine,CST-01027,4.125
2024-01-07,MAT-0056,SINGAPORE-WAREHOUSE,Marine,CST-01025,49.5
2024-01-07,MAT-0056,SINGAPORE-WAREHOUSE,Marine,CST-01024,49.5
2024-01-07,MAT-0228,SINGAPORE-WAREHOUSE,Marine,CST-01026,24.75
2024-01-08,MAT-0268,SINGAPORE-WAREHOUSE,Marine,CST-01035,40.5
2024-01-08,MAT-0319,CHINA-WAREHOUSE,Truck,CST-00012,24.75
2024-01-08,MAT-0318,CHINA-WAREHOUSE,Truck,CST-00017,49.5
2024-01-08,MAT-0316,CHINA-WAREHOUSE,Truck,CST-00018,24.75
2024-01-08,MAT-0314,CHINA-WAREHOUSE,Truck,CST-00025,0.05
2024-01-08,MAT-0314,CHINA-WAREHOUSE,Truck,CST-00129,25.5
2024-01-08,MAT-0314,CHINA-WAREHOUSE,Truck,CST-00066,9.0
2024-01-08,MAT-0321,CHINA-WAREHOUSE,Truck,CST-00008,49.5
2024-01-08,MAT-0293,SINGAPORE-WAREHOUSE,Marine,CST-01036,22.5
2024-01-08,MAT-0314,CHINA-WAREHOUSE,Truck,CST-00138,0.1
2024-01-08,MAT-0321,CHINA-WAREHOUSE,Truck,CST-00010,27.48
2024-01-08,MAT-0327,CHINA-WAREHOUSE,Truck,CST-00131,49.51
2024-01-08,MAT-0321,CHINA-WAREHOUSE,Truck,CST-00074,24.75
2024-01-08,MAT-0321,CHINA-WAREHOUSE,Truck,CST-00133,74.25
2024-01-08,MAT-0328,CHINA-WAREHOUSE,Truck,CST-00135,10.5
2024-01-08,MAT-0373,SINGAPORE-WAREHOUSE,Marine,CST-00577,24.75
2024-01-08,MAT-0389,CHINA-WAREHOUSE,Truck,CST-00127,25.5
2024-01-08,MAT-0395,SINGAPORE-WAREHOUSE,Marine,CST-01033,49.5
2024-01-08,MAT-0413,SINGAPORE-WAREHOUSE,Marine,CST-01038,24.75
2024-01-08,MAT-0415,CHINA-WAREHOUSE,Truck,CST-00006,49.5
2024-01-08,MAT-0421,SINGAPORE-WAREHOUSE,Marine,CST-01039,24.75
2024-01-08,MAT-0321,CHINA-WAREHOUSE,Truck,CST-00052,49.5
2024-01-08,MAT-0261,CHINA-WAREHOUSE,Truck,CST-00025,0.05
2024-01-08,MAT-0206,CHINA-WAREHOUSE,Truck,CST-00030,22.5
2024-01-08,MAT-0233,SINGAPORE-WAREHOUSE,Marine,CST-01035,61.5
2024-01-08,MAT-0247,SINGAPORE-WAREHOUSE,Truck,CST-01041,49.5
2024-01-08,MAT-0001,CHINA-WAREHOUSE,Truck,CST-00126,25.5
2024-01-08,MAT-0001,CHINA-WAREHOUSE,Truck,CST-00136,1.5
2024-01-08,MAT-0007,CHINA-WAREHOUSE,Truck,CST-00023,24.75
2024-01-08,MAT-0049,CHINA-WAREHOUSE,Truck,CST-00132,49.5
2024-01-08,MAT-0050,SINGAPORE-WAREHOUSE,Marine,CST-01037,24.75
2024-01-08,MAT-0079,SINGAPORE-WAREHOUSE,Marine,CST-00268,49.5
2024-01-08,MAT-0084,CHINA-WAREHOUSE,Truck,CST-00130,49.51
2024-01-08,MAT-0109,SINGAPORE-WAREHOUSE,Truck,CST-01040,24.75
2024-01-08,MAT-0143,CHINA-WAREHOUSE,Truck,CST-00003,15.0
2024-01-08,MAT-0143,CHINA-WAREHOUSE,Truck,CST-00128,76.5
2024-01-08,MAT-0035,CHINA-WAREHOUSE,Truck,CST-00092,49.5
2024-01-08,MAT-0145,CHINA-WAREHOUSE,Truck,CST-00008,25.5
2024-01-08,MAT-0143,CHINA-WAREHOUSE,Truck,CST-00137,4.5
2024-01-08,MAT-0159,CHINA-WAREHOUSE,Truck,CST-00134,15.0
2024-01-08,MAT-0156,SINGAPORE-WAREHOUSE,Marine,CST-01034,49.5
2024-01-08,MAT-0196,CHINA-WAREHOUSE,Truck,CST-00028,5.0
