Day,MATERIAL_NAME,PLANT_NAME,total_quantity,AdjustedInv
2024-04-17,MAT-0015,SINGAPORE-WAREHOUSE,74.25,3354.425
2024-04-17,MAT-0015,SINGAPORE-WAREHOUSE,24.75,3379.175
2024-04-20,MAT-0015,SINGAPORE-WAREHOUSE,24.75,3403.925
2024-04-20,MAT-0015,SINGAPORE-WAREHOUSE,11.0,3414.925
2024-04-20,MAT-0015,SINGAPORE-WAREHOUSE,49.5,3464.425
2024-04-20,MAT-0015,SINGAPORE-WAREHOUSE,24.75,3489.175
2024-04-22,MAT-0015,SINGAPORE-WAREHOUSE,49.5,3538.675
2024-04-22,MAT-0015,SINGAPORE-WAREHOUSE,74.25,3612.925
2024-04-22,MAT-0015,SINGAPORE-WAREHOUSE,0.5,3613.425
2024-04-23,MAT-0015,SINGAPORE-WAREHOUSE,123.75,3737.175
2024-04-23,MAT-0015,SINGAPORE-WAREHOUSE,74.25,3811.425
2024-04-24,MAT-0015,SINGAPORE-WAREHOUSE,24.75,3836.175
2024-04-24,MAT-0015,SINGAPORE-WAREHOUSE,24.75,3860.925
2024-04-25,MAT-0015,SINGAPORE-WAREHOUSE,74.25,3935.175
2024-04-25,MAT-0015,SINGAPORE-WAREHOUSE,24.75,3959.925
2024-04-26,MAT-0015,SINGAPORE-WAREHOUSE,198.0,4157.925
2024-04-28,MAT-0015,SINGAPORE-WAREHOUSE,49.5,4207.425
2024-04-29,MAT-0015,SINGAPORE-WAREHOUSE,24.75,4232.175
2024-04-30,MAT-0015,SINGAPORE-WAREHOUSE,99.0,4331.175
2024-05-02,MAT-0015,SINGAPORE-WAREHOUSE,24.75,4355.925
2024-05-02,MAT-0015,SINGAPORE-WAREHOUSE,99.0,4454.925
2024-05-04,MAT-0015,SINGAPORE-WAREHOUSE,24.75,4479.675
2024-05-04,MAT-0015,SINGAPORE-WAREHOUSE,24.75,4504.425
2024-05-04,MAT-0015,SINGAPORE-WAREHOUSE,49.5,4553.925
2024-05-05,MAT-0015,SINGAPORE-WAREHOUSE,24.75,4578.675
2024-05-06,MAT-0015,SINGAPORE-WAREHOUSE,198.0,4776.675
2024-05-10,MAT-0015,SINGAPORE-WAREHOUSE,24.75,4801.425
2024-05-12,MAT-0015,SINGAPORE-WAREHOUSE,24.75,4826.175
2024-05-15,MAT-0015,SINGAPORE-WAREHOUSE,2.75,4828.925
2024-05-15,MAT-0015,SINGAPORE-WAREHOUSE,24.75,4853.675
2024-05-15,MAT-0015,SINGAPORE-WAREHOUSE,24.75,4878.425
2024-05-22,MAT-0015,SINGAPORE-WAREHOUSE,123.75,5002.175
2024-05-22,MAT-0015,SINGAPORE-WAREHOUSE,49.5,5051.675
2024-05-25,MAT-0015,SINGAPORE-WAREHOUSE,24.75,5076.425
2024-05-25,MAT-0015,SINGAPORE-WAREHOUSE,24.75,5101.175
2024-05-26,MAT-0015,SINGAPORE-WAREHOUSE,11.0,5112.175
2024-05-26,MAT-0015,SINGAPORE-WAREHOUSE,24.75,5136.925
2024-05-27,MAT-0015,SINGAPORE-WAREHOUSE,24.75,5161.675
2024-05-27,MAT-0015,SINGAPORE-WAREHOUSE,16.5,5178.175
2024-05-29,MAT-0015,SINGAPORE-WAREHOUSE,24.75,5202.925
2024-05-31,MAT-0015,SINGAPORE-WAREHOUSE,11.0,5213.925
2024-06-03,MAT-0015,SINGAPORE-WAREHOUSE,0.15,5214.075000000001
2024-06-10,MAT-0015,SINGAPORE-WAREHOUSE,24.75,5238.825000000001
2024-06-14,MAT-0015,SINGAPORE-WAREHOUSE,198.0,5436.825000000001
2024-06-16,MAT-0015,SINGAPORE-WAREHOUSE,24.75,5461.575000000001
2024-06-27,MAT-0015,SINGAPORE-WAREHOUSE,24.75,5486.325000000001
2024-06-29,MAT-0015,SINGAPORE-WAREHOUSE,49.5,5535.825000000001
2024-07-08,MAT-0015,SINGAPORE-WAREHOUSE,23.375,5559.200000000001
2024-07-12,MAT-0015,SINGAPORE-WAREHOUSE,74.25,5633.450000000001
2024-07-13,MAT-0015,SINGAPORE-WAREHOUSE,2.75,5636.200000000001
2024-07-19,MAT-0015,SINGAPORE-WAREHOUSE,24.75,5660.950000000001
2024-07-21,MAT-0015,SINGAPORE-WAREHOUSE,49.5,5710.450000000001
2024-07-28,MAT-0015,SINGAPORE-WAREHOUSE,99.0,5809.450000000001
2024-07-28,MAT-0015,SINGAPORE-WAREHOUSE,49.5,5858.950000000001
2024-07-29,MAT-0015,SINGAPORE-WAREHOUSE,74.25,5933.200000000001
2024-08-09,MAT-0015,SINGAPORE-WAREHOUSE,24.75,5957.950000000001
2024-08-31,MAT-0015,SINGAPORE-WAREHOUSE,49.5,6007.450000000001
2024-09-17,MAT-0015,SINGAPORE-WAREHOUSE,6.875,6014.325000000001
2024-09-23,MAT-0015,SINGAPORE-WAREHOUSE,24.75,6039.075000000001
2024-11-15,MAT-0019,SINGAPORE-WAREHOUSE,1.4749999999999999,206.125
2024-12-15,MAT-0019,SINGAPORE-WAREHOUSE,2.7,208.82500000000002
2024-09-03,MAT-0032,SINGAPORE-WAREHOUSE,25.5,838.775
2024-09-10,MAT-0032,SINGAPORE-WAREHOUSE,25.5,864.275
2024-09-18,MAT-0032,SINGAPORE-WAREHOUSE,25.5,889.775
2024-10-02,MAT-0032,SINGAPORE-WAREHOUSE,25.5,915.275
2024-10-07,MAT-0032,SINGAPORE-WAREHOUSE,51.0,966.275
2024-10-09,MAT-0032,SINGAPORE-WAREHOUSE,25.5,991.775
2024-10-10,MAT-0032,SINGAPORE-WAREHOUSE,25.475,1017.25
2024-10-17,MAT-0032,SINGAPORE-WAREHOUSE,25.5,1042.75
2024-10-22,MAT-0032,SINGAPORE-WAREHOUSE,25.5,1068.25
2024-11-13,MAT-0032,SINGAPORE-WAREHOUSE,25.5,1093.75
2024-11-20,MAT-0032,SINGAPORE-WAREHOUSE,25.5,1119.25
2024-02-29,MAT-0035,SINGAPORE-WAREHOUSE,2.75,554.95
2024-03-06,MAT-0035,SINGAPORE-WAREHOUSE,1.5,556.45
2024-04-18,MAT-0035,SINGAPORE-WAREHOUSE,1.375,557.825
2024-07-23,MAT-0035,SINGAPORE-WAREHOUSE,1.5,559.325
2024-09-08,MAT-0035,SINGAPORE-WAREHOUSE,99.0,658.325
2024-11-13,MAT-0035,SINGAPORE-WAREHOUSE,99.0,757.325
2024-11-23,MAT-0035,SINGAPORE-WAREHOUSE,69.05,826.375
2024-11-25,MAT-0035,SINGAPORE-WAREHOUSE,247.5,1073.875
2024-05-15,MAT-0037,SINGAPORE-WAREHOUSE,1.38,24.755
2024-05-23,MAT-0037,SINGAPORE-WAREHOUSE,1.38,26.134999999999998
2024-06-05,MAT-0037,SINGAPORE-WAREHOUSE,24.75,50.885
2024-06-24,MAT-0037,SINGAPORE-WAREHOUSE,24.75,75.63499999999999
2024-07-22,MAT-0037,SINGAPORE-WAREHOUSE,9.63,85.265
2024-07-30,MAT-0037,SINGAPORE-WAREHOUSE,24.75,110.015
2024-08-04,MAT-0037,SINGAPORE-WAREHOUSE,24.75,134.765
2024-08-05,MAT-0037,SINGAPORE-WAREHOUSE,24.75,159.515
2024-09-04,MAT-0037,SINGAPORE-WAREHOUSE,24.75,184.265
2024-09-10,MAT-0037,SINGAPORE-WAREHOUSE,24.75,209.015
2024-09-10,MAT-0037,SINGAPORE-WAREHOUSE,12.38,221.39499999999998
2024-09-12,MAT-0037,SINGAPORE-WAREHOUSE,24.75,246.14499999999998
2024-09-13,MAT-0037,SINGAPORE-WAREHOUSE,24.75,270.895
2024-09-17,MAT-0037,SINGAPORE-WAREHOUSE,24.75,295.645
2024-09-18,MAT-0037,SINGAPORE-WAREHOUSE,24.75,320.395
2024-09-19,MAT-0037,SINGAPORE-WAREHOUSE,24.75,345.145
2024-09-20,MAT-0037,SINGAPORE-WAREHOUSE,15.125,360.27
2024-09-25,MAT-0037,SINGAPORE-WAREHOUSE,24.75,385.02
2024-09-28,MAT-0037,SINGAPORE-WAREHOUSE,1.375,386.395
2024-10-03,MAT-0037,SINGAPORE-WAREHOUSE,46.75,433.145
2024-10-06,MAT-0037,SINGAPORE-WAREHOUSE,24.75,457.895
2024-10-06,MAT-0037,SINGAPORE-WAREHOUSE,49.5,507.395
2024-10-07,MAT-0037,SINGAPORE-WAREHOUSE,24.75,532.145
2024-10-08,MAT-0037,SINGAPORE-WAREHOUSE,19.25,551.395
2024-10-11,MAT-0037,SINGAPORE-WAREHOUSE,24.75,576.145
2024-10-11,MAT-0037,SINGAPORE-WAREHOUSE,1.375,577.52
2024-10-15,MAT-0037,SINGAPORE-WAREHOUSE,8.25,585.77
2024-10-24,MAT-0037,SINGAPORE-WAREHOUSE,24.75,610.52
2024-10-28,MAT-0037,SINGAPORE-WAREHOUSE,24.75,635.27
2024-10-30,MAT-0037,SINGAPORE-WAREHOUSE,12.375,647.645
2024-11-11,MAT-0037,SINGAPORE-WAREHOUSE,24.75,672.395
2024-11-12,MAT-0037,SINGAPORE-WAREHOUSE,17.880000000000003,690.275
2024-11-12,MAT-0037,SINGAPORE-WAREHOUSE,24.75,715.025
2024-11-14,MAT-0037,SINGAPORE-WAREHOUSE,24.75,739.775
2024-11-20,MAT-0037,SINGAPORE-WAREHOUSE,49.5,789.275
2024-11-22,MAT-0037,SINGAPORE-WAREHOUSE,24.75,814.025
2024-11-28,MAT-0037,SINGAPORE-WAREHOUSE,12.375,826.4
2024-12-05,MAT-0037,SINGAPORE-WAREHOUSE,16.5,842.9
2024-12-08,MAT-0037,SINGAPORE-WAREHOUSE,49.5,892.4
2024-12-11,MAT-0037,SINGAPORE-WAREHOUSE,24.75,917.15
2024-12-29,MAT-0037,SINGAPORE-WAREHOUSE,74.25,991.4
2024-10-29,MAT-0040,SINGAPORE-WAREHOUSE,0.3,74.55
2024-02-12,MAT-0046,SINGAPORE-WAREHOUSE,49.5,947.95
2024-02-15,MAT-0046,SINGAPORE-WAREHOUSE,16.01,963.96
2024-02-17,MAT-0046,SINGAPORE-WAREHOUSE,49.5,1013.46
2024-02-20,MAT-0046,SINGAPORE-WAREHOUSE,49.5,1062.96
2024-02-26,MAT-0046,SINGAPORE-WAREHOUSE,49.5,1112.46
2024-05-09,MAT-0046,SINGAPORE-WAREHOUSE,49.5,1161.96
2024-05-22,MAT-0046,SINGAPORE-WAREHOUSE,49.5,1211.46
2024-06-04,MAT-0046,SINGAPORE-WAREHOUSE,24.75,1236.21
2024-07-12,MAT-0046,SINGAPORE-WAREHOUSE,24.75,1260.96
2024-07-20,MAT-0046,SINGAPORE-WAREHOUSE,123.75,1384.71
2024-08-05,MAT-0046,SINGAPORE-WAREHOUSE,49.5,1434.21
2024-08-06,MAT-0046,SINGAPORE-WAREHOUSE,49.5,1483.71
2024-08-10,MAT-0046,SINGAPORE-WAREHOUSE,24.75,1508.46
2024-09-13,MAT-0046,SINGAPORE-WAREHOUSE,49.5,1557.96
2024-09-14,MAT-0046,SINGAPORE-WAREHOUSE,49.5,1607.46
2024-09-28,MAT-0046,SINGAPORE-WAREHOUSE,49.5,1656.96
2024-10-29,MAT-0046,SINGAPORE-WAREHOUSE,99.0,1755.96
2024-12-15,MAT-0046,SINGAPORE-WAREHOUSE,24.65,1780.6100000000001
2024-12-16,MAT-0046,SINGAPORE-WAREHOUSE,24.75,1805.3600000000001
2024-02-20,MAT-0049,SINGAPORE-WAREHOUSE,23.375,43.55
2024-04-24,MAT-0049,SINGAPORE-WAREHOUSE,22.0,65.55
2024-01-03,MAT-0050,SINGAPORE-WAREHOUSE,24.75,248.95
2024-01-08,MAT-0050,SINGAPORE-WAREHOUSE,24.75,273.7
2024-01-11,MAT-0050,SINGAPORE-WAREHOUSE,49.5,323.2
2024-01-15,MAT-0050,SINGAPORE-WAREHOUSE,24.75,347.95
2024-02-25,MAT-0050,SINGAPORE-WAREHOUSE,24.75,372.7
2024-03-25,MAT-0050,SINGAPORE-WAREHOUSE,24.75,397.45
2024-04-15,MAT-0050,SINGAPORE-WAREHOUSE,24.75,422.2
2024-04-22,MAT-0050,SINGAPORE-WAREHOUSE,24.75,446.95
2024-04-25,MAT-0050,SINGAPORE-WAREHOUSE,24.75,471.7
2024-05-05,MAT-0050,SINGAPORE-WAREHOUSE,24.75,496.45
2024-05-09,MAT-0050,SINGAPORE-WAREHOUSE,24.75,521.2
2024-05-21,MAT-0050,SINGAPORE-WAREHOUSE,74.25,595.45
2024-06-12,MAT-0050,SINGAPORE-WAREHOUSE,74.25,669.7
2024-07-18,MAT-0053,SINGAPORE-WAREHOUSE,46.75,575.4
2024-08-06,MAT-0053,SINGAPORE-WAREHOUSE,4.13,579.53
2024-08-22,MAT-0053,SINGAPORE-WAREHOUSE,24.75,604.28
2024-08-23,MAT-0053,SINGAPORE-WAREHOUSE,49.5,653.78
2024-08-24,MAT-0053,SINGAPORE-WAREHOUSE,1.375,655.155
2024-08-25,MAT-0053,SINGAPORE-WAREHOUSE,49.5,704.655
2024-09-07,MAT-0053,SINGAPORE-WAREHOUSE,49.5,754.155
2024-09-17,MAT-0053,SINGAPORE-WAREHOUSE,5.5,759.655
2024-09-17,MAT-0053,SINGAPORE-WAREHOUSE,16.5,776.155
2024-09-18,MAT-0053,SINGAPORE-WAREHOUSE,49.5,825.655
2024-09-19,MAT-0053,SINGAPORE-WAREHOUSE,12.38,838.035
2024-10-01,MAT-0053,SINGAPORE-WAREHOUSE,4.125,842.16
2024-10-10,MAT-0053,SINGAPORE-WAREHOUSE,0.5,842.66
2024-10-12,MAT-0053,SINGAPORE-WAREHOUSE,8.25,850.91
2024-12-07,MAT-0053,SINGAPORE-WAREHOUSE,11.0,861.91
2024-01-22,MAT-0055,SINGAPORE-WAREHOUSE,4.125,668.675
2023-12-31,MAT-0056,SINGAPORE-WAREHOUSE,49.5,76.025
2024-01-07,MAT-0056,SINGAPORE-WAREHOUSE,49.5,125.525
2024-01-07,MAT-0056,SINGAPORE-WAREHOUSE,49.5,175.025
2024-01-11,MAT-0056,SINGAPORE-WAREHOUSE,24.75,199.775
2024-01-11,MAT-0056,SINGAPORE-WAREHOUSE,24.75,224.525
2024-01-13,MAT-0056,SINGAPORE-WAREHOUSE,49.5,274.025
2024-01-15,MAT-0056,SINGAPORE-WAREHOUSE,74.25,348.275
2024-01-16,MAT-0056,SINGAPORE-WAREHOUSE,24.75,373.025
2024-01-16,MAT-0056,SINGAPORE-WAREHOUSE,49.5,422.525
2024-01-22,MAT-0056,SINGAPORE-WAREHOUSE,49.5,472.025
2024-01-25,MAT-0056,SINGAPORE-WAREHOUSE,24.75,496.775
2024-01-27,MAT-0056,SINGAPORE-WAREHOUSE,24.75,521.525
2024-01-29,MAT-0056,SINGAPORE-WAREHOUSE,70.14,591.665
2024-02-04,MAT-0056,SINGAPORE-WAREHOUSE,24.75,616.415
2024-02-08,MAT-0056,SINGAPORE-WAREHOUSE,49.5,665.915
2024-02-08,MAT-0056,SINGAPORE-WAREHOUSE,24.75,690.665
2024-02-16,MAT-0056,SINGAPORE-WAREHOUSE,24.75,715.415
2024-02-16,MAT-0056,SINGAPORE-WAREHOUSE,24.75,740.165
2024-02-18,MAT-0056,SINGAPORE-WAREHOUSE,49.5,789.665
2024-02-20,MAT-0056,SINGAPORE-WAREHOUSE,74.25,863.915
2024-02-21,MAT-0056,SINGAPORE-WAREHOUSE,24.75,888.665
2024-02-22,MAT-0056,SINGAPORE-WAREHOUSE,49.5,938.165
2024-02-24,MAT-0056,SINGAPORE-WAREHOUSE,49.5,987.665
2024-02-29,MAT-0056,SINGAPORE-WAREHOUSE,74.25,1061.915
2024-03-05,MAT-0056,SINGAPORE-WAREHOUSE,24.75,1086.665
2024-03-05,MAT-0056,SINGAPORE-WAREHOUSE,13.1,1099.7649999999999
2024-03-05,MAT-0056,SINGAPORE-WAREHOUSE,49.5,1149.2649999999999
2024-03-05,MAT-0056,SINGAPORE-WAREHOUSE,49.5,1198.7649999999999
2024-03-11,MAT-0056,SINGAPORE-WAREHOUSE,49.5,1248.2649999999999
2024-03-13,MAT-0056,SINGAPORE-WAREHOUSE,74.25,1322.5149999999999
2024-03-15,MAT-0056,SINGAPORE-WAREHOUSE,24.75,1347.2649999999999
2024-03-23,MAT-0056,SINGAPORE-WAREHOUSE,24.75,1372.0149999999999
2024-03-26,MAT-0056,SINGAPORE-WAREHOUSE,49.5,1421.5149999999999
2024-03-27,MAT-0056,SINGAPORE-WAREHOUSE,24.75,1446.2649999999999
2024-03-28,MAT-0056,SINGAPORE-WAREHOUSE,24.75,1471.0149999999999
2024-03-29,MAT-0056,SINGAPORE-WAREHOUSE,99.0,1570.0149999999999
2024-03-31,MAT-0056,SINGAPORE-WAREHOUSE,24.75,1594.7649999999999
2024-03-31,MAT-0056,SINGAPORE-WAREHOUSE,24.75,1619.5149999999999
2024-04-02,MAT-0056,SINGAPORE-WAREHOUSE,49.5,1669.0149999999999
2024-04-03,MAT-0056,SINGAPORE-WAREHOUSE,0.3,1669.3149999999998
2024-04-05,MAT-0056,SINGAPORE-WAREHOUSE,49.5,1718.8149999999998
2024-04-08,MAT-0056,SINGAPORE-WAREHOUSE,24.75,1743.5649999999998
2024-04-09,MAT-0056,SINGAPORE-WAREHOUSE,24.75,1768.3149999999998
2024-04-09,MAT-0056,SINGAPORE-WAREHOUSE,24.75,1793.0649999999998
2024-04-12,MAT-0056,SINGAPORE-WAREHOUSE,49.5,1842.5649999999998
2024-04-21,MAT-0056,SINGAPORE-WAREHOUSE,74.25,1916.8149999999998
2024-04-25,MAT-0056,SINGAPORE-WAREHOUSE,24.75,1941.5649999999998
2024-04-25,MAT-0056,SINGAPORE-WAREHOUSE,49.5,1991.0649999999998
2024-04-27,MAT-0056,SINGAPORE-WAREHOUSE,49.5,2040.5649999999998
2024-05-01,MAT-0056,SINGAPORE-WAREHOUSE,24.75,2065.3149999999996
2024-05-03,MAT-0056,SINGAPORE-WAREHOUSE,49.5,2114.815
2024-05-04,MAT-0056,SINGAPORE-WAREHOUSE,49.5,2164.315
2024-05-05,MAT-0056,SINGAPORE-WAREHOUSE,49.5,2213.815
2024-05-07,MAT-0056,SINGAPORE-WAREHOUSE,24.75,2238.565
2024-05-10,MAT-0056,SINGAPORE-WAREHOUSE,24.75,2263.315
2024-05-14,MAT-0056,SINGAPORE-WAREHOUSE,49.5,2312.815
2024-05-18,MAT-0056,SINGAPORE-WAREHOUSE,24.75,2337.565
2024-05-22,MAT-0056,SINGAPORE-WAREHOUSE,24.75,2362.315
2024-05-24,MAT-0056,SINGAPORE-WAREHOUSE,12.375,2374.69
2024-05-24,MAT-0056,SINGAPORE-WAREHOUSE,24.75,2399.44
2024-05-24,MAT-0056,SINGAPORE-WAREHOUSE,24.75,2424.19
2024-05-24,MAT-0056,SINGAPORE-WAREHOUSE,49.5,2473.69
2024-05-26,MAT-0056,SINGAPORE-WAREHOUSE,24.75,2498.44
2024-05-26,MAT-0056,SINGAPORE-WAREHOUSE,24.75,2523.19
2024-05-26,MAT-0056,SINGAPORE-WAREHOUSE,24.75,2547.94
2024-05-30,MAT-0056,SINGAPORE-WAREHOUSE,49.5,2597.44
2024-05-30,MAT-0056,SINGAPORE-WAREHOUSE,24.75,2622.19
2024-06-03,MAT-0056,SINGAPORE-WAREHOUSE,49.5,2671.69
2024-06-03,MAT-0056,SINGAPORE-WAREHOUSE,11.0,2682.69
2024-06-03,MAT-0056,SINGAPORE-WAREHOUSE,49.5,2732.19
2024-06-05,MAT-0056,SINGAPORE-WAREHOUSE,99.0,2831.19
2024-06-12,MAT-0056,SINGAPORE-WAREHOUSE,24.75,2855.94
2024-06-14,MAT-0056,SINGAPORE-WAREHOUSE,49.5,2905.44
2024-06-14,MAT-0056,SINGAPORE-WAREHOUSE,24.75,2930.19
2024-06-15,MAT-0056,SINGAPORE-WAREHOUSE,24.75,2954.94
2024-06-15,MAT-0056,SINGAPORE-WAREHOUSE,24.75,2979.69
2024-06-15,MAT-0056,SINGAPORE-WAREHOUSE,49.5,3029.19
2024-06-15,MAT-0056,SINGAPORE-WAREHOUSE,24.75,3053.94
2024-06-21,MAT-0056,SINGAPORE-WAREHOUSE,99.0,3152.94
2024-06-22,MAT-0056,SINGAPORE-WAREHOUSE,11.0,3163.94
2024-06-22,MAT-0056,SINGAPORE-WAREHOUSE,24.75,3188.69
2024-06-24,MAT-0056,SINGAPORE-WAREHOUSE,24.75,3213.44
2024-06-25,MAT-0056,SINGAPORE-WAREHOUSE,99.0,3312.44
2024-06-30,MAT-0056,SINGAPORE-WAREHOUSE,49.5,3361.94
2024-06-30,MAT-0056,SINGAPORE-WAREHOUSE,49.5,3411.44
2024-07-04,MAT-0056,SINGAPORE-WAREHOUSE,49.5,3460.94
2024-07-10,MAT-0056,SINGAPORE-WAREHOUSE,49.5,3510.44
2024-07-11,MAT-0056,SINGAPORE-WAREHOUSE,99.0,3609.44
2024-07-14,MAT-0056,SINGAPORE-WAREHOUSE,49.5,3658.94
2024-07-17,MAT-0056,SINGAPORE-WAREHOUSE,99.0,3757.94
2024-07-19,MAT-0056,SINGAPORE-WAREHOUSE,24.75,3782.69
2024-07-21,MAT-0056,SINGAPORE-WAREHOUSE,74.25,3856.94
2024-07-22,MAT-0056,SINGAPORE-WAREHOUSE,99.0,3955.94
2024-07-23,MAT-0056,SINGAPORE-WAREHOUSE,24.75,3980.69
2024-07-23,MAT-0056,SINGAPORE-WAREHOUSE,49.5,4030.19
2024-07-23,MAT-0056,SINGAPORE-WAREHOUSE,99.0,4129.19
2024-07-27,MAT-0056,SINGAPORE-WAREHOUSE,24.75,4153.94
2024-07-27,MAT-0056,SINGAPORE-WAREHOUSE,198.0,4351.94
2024-07-31,MAT-0056,SINGAPORE-WAREHOUSE,49.5,4401.44
2024-08-08,MAT-0056,SINGAPORE-WAREHOUSE,74.25,4475.69
2024-08-09,MAT-0056,SINGAPORE-WAREHOUSE,99.0,4574.69
2024-08-10,MAT-0056,SINGAPORE-WAREHOUSE,49.5,4624.19
2024-08-14,MAT-0056,SINGAPORE-WAREHOUSE,24.75,4648.94
2024-08-18,MAT-0056,SINGAPORE-WAREHOUSE,24.75,4673.69
