MATERIAL_NAME,TRANSPORTATION_MODES
MAT-0413,"Truck, Marine"
MAT-0415,"Truck, Marine"
MAT-0416,"Truck, Marine"
MAT-0417,Truck
MAT-0418,Truck
MAT-0419,Marine
MAT-0420,Marine
MAT-0421,"Marine, Truck"
MAT-0423,"Marine, Truck"
MAT-0424,Marine
MAT-0425,Truck
MAT-0426,Marine
MAT-0427,Marine
MAT-0428,"Truck, Marine"
MAT-0429,Truck
MAT-0430,Truck
